MUNICIPIO,CODIGO
MARATA,4311791
MARAU,4311809
MARCELINO RAMOS,4311908
MARIANA PIMENTEL,4311981
MARIANO MORO,4312005
MARQUES DE SOUZA,4312054
MATA,4312104
MATO CASTELHANO,4312138
MATO LEITAO,4312153
MATO QUEIMADO,4312179
MAXIMILIANO DE ALMEIDA,4312203
MINAS DO LEAO,4312252
MIRAGUAI,4312302
MONTAURI,4312351
MONTE ALEGRE DOS CAMPOS,4312377
MONTE BELO DO SUL,4312385
MONTENEGRO,4312401
MORMACO,4312427
MORRINHOS DO SUL,4312443
MORRO REDONDO,4312450
MORRO REUTER,4312476
MOSTARDAS,4312500
MUCUM,4312609
MUITOS CAPOES,4312617
MULITERNO,4312625
NAO-ME-TOQUE,4312658
NICOLAU VERGUEIRO,4312674
NONOAI,4312708
NOVA ALVORADA,4312757
NOVA ARACA,4312807
NOVA BASSANO,4312906
NOVA BOA VISTA,4312955
NOVA BRESCIA,4313003
NOVA CANDELARIA,4313011
NOVA ESPERANCA DO SUL,4313037
NOVA HARTZ,4313060
NOVA PADUA,4313086
NOVA PALMA,4313102
NOVA PETROPOLIS,4313201
NOVA PRATA,4313300
NOVA RAMADA,4313334
NOVA ROMA DO SUL,4313359
NOVA SANTA RITA,4313375
NOVO BARREIRO,4313490
NOVO CABRAIS,4313391
NOVO HAMBURGO,4313409
NOVO MACHADO,4313425
NOVO TIRADENTES,4313441
NOVO XINGU,4313466
OSORIO,4313508
PAIM FILHO,4313607
PALMARES DO SUL,4313656
PALMEIRA DAS MISSOES,4313706
PALMITINHO,4313805
PANAMBI,4313904
PANTANO GRANDE,4313953
PARAI,4314001
PARAISO DO SUL,4314027
PARECI NOVO,4314035
PAROBE,4314050
PASSA SETE,4314068
PASSO DO SOBRADO,4314076
PASSO FUNDO,4314100
PAULO BENTO,4314134
PAVERAMA,4314159
PEDRAS ALTAS,4314175
PEDRO OSORIO,4314209
PEJUCARA,4314308
PELOTAS,4314407
PICADA CAFE,4314423
PINHAL,4314456
PINHAL DA SERRA,4314464
PINHAL GRANDE,4314472
PINHEIRINHO DO VALE,4314498
PINHEIRO MACHADO,4314506
PINTO BANDEIRA,4314530
PIRAPO,4314555
PIRATINI,4314605
PLANALTO,4314704
POCO DAS ANTAS,4314753
PONTAO,4314779
PONTE PRETA,4314787
PORTAO,4314803
PORTO ALEGRE,4314902
PORTO LUCENA,4315008
PORTO MAUA,4315057
PORTO VERA CRUZ,4315073
PORTO XAVIER,4315107
POUSO NOVO,4315131
PRESIDENTE LUCENA,4315149
PROGRESSO,4315156
PROTASIO ALVES,4315172
PUTINGA,4315206
QUATRO IRMAOS,4315313
QUARAI,4315305
QUEVEDOS,4315321
QUINZE DE NOVEMBRO,4315354
REDENTORA,4315404
RELVADO,4315453
RESTINGA SECA,4315503
RIO DOS INDIOS,4315552
RIO GRANDE,4315602
RIO PARDO,4315701
RIOZINHO,4315750
ROCA SALES,4315800
RODEIO BONITO,4315909
0 size=2>ROLADOR,4315958
ROLANTE,4316006
RONDA ALTA,4316105
RONDINHA,4316204
ROQUE GONZALES,4316303
ROSARIO DO SUL,4316402
SAGRADA FAMILIA,4316428
SALDANHA MARINHO,4316436
SALTO DO JACUI,4316451
SALVADOR DAS MISSOES,4316477
SALVADOR DO SUL,4316501
SANANDUVA,4316600
SANTA BARBARA DO SUL,4316709
SANTA CECILIA DO SUL,4316733
SANTA CLARA DO SUL,4316758
SANTA CRUZ DO SUL,4316808
SANTA MARIA,4316907
SANTA MARIA DO HERVAL,4316956
SANTA ROSA,4317202
SANTA TEREZA,4317251
SANTA VITORIA DO PALMAR,4317301
SANTANA DA BOA VISTA,4317004
SANTANA DO LIVRAMENTO,4317103
SANTA MARGARIDA DO SUL,4316972
SANTIAGO,4317400
SANTO ANGELO,4317509
SANTO ANTONIO DO PALMA,4317558
SANTO ANTONIO DA PATRULHA,4317608
SANTO ANTONIO DAS MISSOES,4317707
SANTO ANTONIO DO PLANALTO,4317756
SANTO AUGUSTO,4317806
SANTO CRISTO,4317905
SANTO EXPEDITO DO SUL,4317954
SAO BORJA,4318002
SAO DOMINGOS DO SUL,4318051
SAO FRANCISCO DE ASSIS,4318101
SAO FRANCISCO DE PAULA,4318200
SAO GABRIEL,4318309
SAO JERONIMO,4318408
SAO JOAO DA URTIGA,4318424
SAO JOAO DO POLESINE,4318432
SAO JORGE,4318440
SAO JOSE DAS MISSOES,4318457
SAO JOSE DO HERVAL,4318465
SAO JOSE DO HORTENCIO,4318481
SAO JOSE DO INHACORA,4318499
SAO JOSE DO NORTE,4318507
SAO JOSE DO OURO,4318606
SAO JOSE DOS AUSENTES,4318622
SAO JOSE DO SUL,4318614
SAO LEOPOLDO,4318705
SAO LOURENCO DO SUL,4318804
SAO LUIZ GONZAGA,4318903
SAO MARCOS,4319000
SAO MARTINHO,4319109
SAO MARTINHO DA SERRA,4319125
SAO MIGUEL DAS MISSOES,4319158
SAO NICOLAU,4319208
SAO PAULO DAS MISSOES,4319307
SAO PEDRO DA SERRA,4319356
SAO PEDRO DAS MISSOES,4319364
SAO PEDRO DO BUTIA,4319372
SAO PEDRO DO SUL,4319406
SAO SEBASTIAO DO CAI,4319505
SAO SEPE,4319604
SAO VALENTIM,4319703
SAO VALENTIM DO SUL,4319711
SAO VALERIO DO SUL,4319737
SAO VENDELINO,4319752
SAO VICENTE DO SUL,4319802
SAPIRANGA,4319901
SAPUCAIA DO SUL,4320008
SARANDI,4320107
SEBERI,4320206
SEDE NOVA,4320230
SEGREDO,4320263
SELBACH,4320305
SENADOR SALGADO FILHO,4320321
SENTINELA DO SUL,4320354
SERAFINA CORREA,4320404
SERIO,4320453
SERTAO,4320503
SERTAO SANTANA,4320552
SETE DE SETEMBRO,4320578
SEVERIANO DE ALMEIDA,4320602
SILVEIRA MARTINS,4320651
SINIMBU,4320677
SOBRADINHO,4320701
SOLEDADE,4320800
TABAI,4320859
TAPEJARA,4320909
TAPERA,4321006
TAPES,4321105
TAQUARA,4321204
TAQUARI,4321303
TAQUARUCU DO SUL,4321329
TAVARES,4321352
TENENTE PORTELA,4321402
TERRA DE AREIA,4321436
TEUTONIA,4321451
TIO HUGO,4321469
TIRADENTES DO SUL,4321477
TOROPI,4321493
TORRES,4321501
TRAMANDAI,4321600
TRAVESSEIRO,4321626
TRES ARROIOS,4321634
TRES CACHOEIRAS,4321667
TRES COROAS,4321709
TRES DE MAIO,4321808
TRES FORQUILHAS,4321832
TRES PALMEIRAS,4321857
TRES PASSOS,4321907
TRINDADE DO SUL,4321956
TRIUNFO,4322004
TUCUNDUVA,4322103
TUNAS,4322152
TUPANCI DO SUL,4322186
TUPANCIRETA,4322202
TUPANDI,4322251
TUPARENDI,4322301
TURUCU,4322327
UBIRETAMA,4322343
UNIAO DA SERRA,4322350
UNISTALDA,4322376
URUGUAIANA,4322400
VACARIA,4322509
VALE DO SOL,4322533
VALE REAL,4322541
VALE VERDE,4322525
VANINI,4322558
VENANCIO AIRES,4322608
VERA CRUZ,4322707
VERANOPOLIS,4322806
VESPASIANO CORREA,4322855
VIADUTOS,4322905
VIAMAO,4323002
VICENTE DUTRA,4323101
VICTOR GRAEFF,4323200
VILA FLORES,4323309
VILA LANGARO,4323358
VILA MARIA,4323408
VILA NOVA DO SUL,4323457
VISTA ALEGRE,4323507
VISTA ALEGRE DO PRATA,4323606
VISTA GAUCHA,4323705
VITORIA DAS MISSOES,4323754
WESTFALIA,4323770
XANGRI-LA,4323804
